Name,Industry
ASGN,Others
Ashford Hospitality Trust,Construction & Real Estate
Ashford Hospitality Trust,Banks & Finance
Ashiana Housing,Construction & Real Estate
Ashland,Others
Ashok Leyland,Manufacturing
Ashoka Buildcon,Construction & Real Estate
Ashtead,Manufacturing
Asian Granito India,Others
Asian Paints,Chemicals
Asiana Airlines,Courier & transportation
Asiana Airlines,Courier & transportation
ASM International,Tech & Software
ASM International,Tech & Software
ASM International,Manufacturing
ASM Pacific Technology,Tech & Software
ASM Pacific Technology,Tech & Software
ASML,Tech & Software
ASML,Tech & Software
AspenTech,Tech & Software
AspenTech,Tech & Software
ASR Nederland,Others
Assa Abloy,Manufacturing
Assaí Atacadista,Retail
Asseco,Tech & Software
Asseco,Tech & Software
Assertio Therapeutics,Pharma & Healthcare
AssetMark,Others
Associated Banc-Corp,Others
Assurant,Others
Assured Guaranty,Banks & Finance
AST SpaceMobile,Tech & Software
AST SpaceMobile,Media & telecommunication
AST SpaceMobile,Manufacturing
Astec Industries,Manufacturing
Astec Lifesciences,Chemicals
Astellas Pharma,Pharma & Healthcare
Österreichische Post,Courier & transportation
Aston Martin,Manufacturing
Astra International,Others
Astra Microwave,Others
Astra Space,Manufacturing
Astral Poly Technik,Others
Astrazeneca,Pharma & Healthcare
Astrazeneca,Pharma & Healthcare
Astronics Corporation,Manufacturing
Astrotech,Manufacturing
Asure Software,Tech & Software
Asure Software,Tech & Software
ASUS,Tech & Software
ASX,Banks & Finance
AT&T,Media & telecommunication
ATA Creativity Global,Others
Atacadão,Retail
Atai Life Sciences,Pharma & Healthcare
Atai Life Sciences,Pharma & Healthcare
ATARI,Tech & Software
ATARI,Entertainment
ATCO,"Oil, Gas & Mining"
ATCO,Electricity
Atea Pharmaceuticals,Pharma & Healthcare
Atea Pharmaceuticals,Pharma & Healthcare
Aterian,Tech & Software
Athene Holding,Others
Athenex,Pharma & Healthcare
Athenex,Pharma & Healthcare
Athersys,Pharma & Healthcare
Athersys,Pharma & Healthcare
ATI Physical Therapy,Others
Atkore,Others
Atlantia,Others
Atlantic Capital Bancshares,Banks & Finance
Atlantic Capital Bancshares,Banks & Finance
Atlantic Power Corporation,Electricity
Atlantic Union Bankshares,Banks & Finance
Atlantic Union Bankshares,Banks & Finance
Atlantica,"Oil, Gas & Mining"
Atlantica,Courier & transportation
Atlanticus,Banks & Finance
Atlas Air Worldwide Holdings,Courier & transportation
Atlas Air Worldwide Holdings,Courier & transportation
Atlas Copco,Manufacturing
Atlas Corp,Others
Atlassian,Tech & Software
Atlassian,Tech & Software
Atmos Energy,"Oil, Gas & Mining"
ATN International,Media & telecommunication
Atos,Tech & Software
Atoss,Tech & Software
Atoss,Tech & Software
Atossa Therapeutics,Pharma & Healthcare
Atossa Therapeutics,Pharma & Healthcare
Atotech,Chemicals
AtriCure,Others
Atrion,Pharma & Healthcare
Atul,Chemicals
aTyr Pharma,Pharma & Healthcare
aTyr Pharma,Pharma & Healthcare
AU Small Finance Bank,Banks & Finance
AU Small Finance Bank,Banks & Finance
Auckland Airport,Courier & transportation
Audacy,Media & telecommunication
AudioCodes,Others
Augmedix,Pharma & Healthcare
Aura Biosciences,Pharma & Healthcare
Aura Biosciences,Pharma & Healthcare
Aurinia Pharmaceuticals,Pharma & Healthcare
Aurobindo Pharma,Pharma & Healthcare
Aurora Cannabis,Others
Aurora Innovation,Tech & Software
Aurora Innovation,Tech & Software
Aurubis,Others
Austin Gold,"Oil, Gas & Mining"
AUTO1,Manufacturing
Autodesk,Tech & Software
Autodesk,Tech & Software
Autoliv,Manufacturing
Automatic Data Processing,Tech & Software
Automatic Data Processing,Tech & Software
Automatic Data Processing,Tech & Software
Automotive Axles,Manufacturing
AutoNation,Others
AutoZone,Retail
Avadel Pharmaceuticals,Pharma & Healthcare
Avadel Pharmaceuticals,Pharma & Healthcare
Avalara,Tech & Software
Avalara,Tech & Software
Avalon GloboCare,Pharma & Healthcare
AvalonBay Communities,Construction & Real Estate
AvalonBay Communities,Banks & Finance
Avangrid,Others
Avanos Medical,Pharma & Healthcare
Avantor,Chemicals
Avast,Tech & Software
Avast,Tech & Software
Avaya Holdings,Tech & Software
Avaya Holdings,Tech & Software
Aveanna Healthcare,Pharma & Healthcare
AVEO Oncology,Pharma & Healthcare
AvePoint,Tech & Software
AvePoint,Tech & Software
Avery Dennison,Others
AVEVA,Tech & Software
AVEVA,Tech & Software
Avianca,Courier & transportation
Avianca,Courier & transportation
Avid Bioservices,Pharma & Healthcare
Avid Bioservices,Pharma & Healthcare
Avid Technology,Others
Avidity Biosciences,Pharma & Healthcare
Avidity Biosciences,Pharma & Healthcare
Avient,Others
Avinger,Pharma & Healthcare
Avino Silver &amp; Gold Mines,"Oil, Gas & Mining"
Avis Budget Group,Courier & transportation
Avista,Others
Avita Medical,Others
Aviva,Banks & Finance
Avnet,Others
AVROBIO,Pharma & Healthcare
AVROBIO,Pharma & Healthcare
AXA,Banks & Finance
Axalta,Chemicals
Axcelis Technologies,Tech & Software
Axcelis Technologies,Tech & Software
Axcelis Technologies,Manufacturing
Axfood,Retail
Axis Bank,Banks & Finance
Axis Bank,Banks & Finance
AXIS Capital,Banks & Finance
Axogen,Pharma & Healthcare
Axon Enterprise,Others
Axonics Modulation Tech,Others
Axos Financial,Banks & Finance
Axos Financial,Banks & Finance
Axsome Therapeutics,Pharma & Healthcare
AXT Inc,Tech & Software
Ayr Wellness,Others
Aytu BioScience,Pharma & Healthcare
Aytu BioScience,Pharma & Healthcare
Azenta,Pharma & Healthcare
Azenta,Pharma & Healthcare
Azrieli Group,Construction & Real Estate
Azul,Courier & transportation
